game_id,rated,speed,perf,winner,opening,white,black,moves
U7vJv1HU,True,bullet,bullet,white,King's Indian Attack,chess-art-us,DrNykterstein,Nf3 d5 g3 Nf6 Bg2 e6 O-O Be7 d3 O-O Nbd2 c5 c4 Nc6 Rb1 d4 a3 e5 Ne1 a5 Nc2 Re8 Ne4 Nxe4 Bxe4 Bh3 Re1 Qd7 Bd2 a4 b4 axb3 Rxb3 f5 Bd5+ Kh8 Qb1 Rab8 Qb2 e4 Rb1 exd3 exd3 Ne5 Rxb7 Rxb7 Qxb7 Qa4 Qb3 Qa7 Qb5 Rf8 Qb7 Qxb7 Rxb7 Bf6 Rb3 f4 Bxf4 Ng6 Bd2 Re8 Be4 Ne5 f3 Bf5 Kf2 Bxe4 fxe4 Ng4+ Kg2 Nxh2 Kxh2
oPMO817E,True,bullet,bullet,black,Hungarian Opening: Reversed Alekhine,DrNykterstein,Katarina0TP,Nf3 e5 g3 e4 Nd4 d5 Nb3 Nf6 d3 exd3 cxd3 Be7 Bg2 O-O O-O a5 Nc3 a4 Nd2 a3 bxa3 Bxa3 Bxa3 Rxa3 Qc1 Ra8 a4 c6 e4 Re8 e5 Rxe5 Nf3 Re8 Re1 Nbd7 Rxe8+ Qxe8 Qa3 Qf8 Qb2 Qd6 d4 h6 Re1 Nf8 h3 Ne6 Bf1 Qc7 Bd3 Bd7 Kg2 b6 Rc1 c5 Bf5 c4 Rb1 Nf4+ gxf4 Bxf5 Qxb6 Qxf4 Re1 Bxh3+ Kxh3 Qxf3+ Kh2 Qxc3
ai4mXm5Q,True,bullet,bullet,black,English Opening: Great Snake Variation,Mirakel05,DrNykterstein,c4 g6 Nf3 Bg7 d4 d6 Nc3 e5 Bg5 f6 Bh4 Nc6 e3 Nh6 c5 Nf5 cxd6 cxd6 dxe5 Nxh4 Nxh4 dxe5 Qxd8+ Nxd8 Nd5 Ne6 Rc1 Bd7 Bc4 Rd8 O-O O-O Rfd1 Kh8 Nf3 e4 Nd2 f5 b4 Ba4 Bb3 Bb5 a4 Be2 Re1 Bd3 a5 Bb2 Rcd1 Rd7 Nc4 Bg7 Na3 Rfd8 Nf6 Bxf6 Bxe6 Rd6 Bb3 Bc3 b5 Bxa5 h4 Bxe1 Rxe1 a6 bxa6 Rxa6 Nc2 Bxc2 Bxc2 Ra2 Bb3 Rb2 Be6 Rdd2 Rf1 Kg7 g3 Kf6 Bc4 b5 Bg8 b4 Bxh7 Kg7
MoasISt2,True,bullet,bullet,white,"Grünfeld Defense: Exchange Variation, Spassky Variation",DrNykterstein,junglebook1,d4 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 e4 Nxc3 bxc3 Bg7 Bc4 c5 Ne2 Nc6 Be3 O-O O-O cxd4 cxd4 Bg4 f3 Bd7 Rc1 a6 Qd2 Rc8 d5 Ne5 Bb3 Bb5 Rxc8 Qxc8 Rc1 Qb8 Nd4 Rc8 Rxc8+ Qxc8 Nxb5 axb5 Qc2 Nc4 Bf2 Qc7 g3 h5 f4 h4 e5 hxg3 hxg3 Bf8 a4 Qa5 axb5 Nd2 Qd3 Qb4 Bc2 Nc4 Kg2 Qxb5 Bb3 Na3 Qxb5 Nxb5 Bb6 Kg7 Kf3 f6 Bc4 Na3 Bd3 g5 Bc5 gxf4 gxf4 fxe5 fxe5 e6 d6
jdsZdqm4,True,bullet,bullet,black,Rapport-Jobava System,StrongKhaganaK1ller,DrNykterstein,d4 Nf6 Nc3 d5 Bf4 a6 e3 h6 Nf3 Bf5 Ne5 e6 g4 Bh7 h4 Nfd7 g5 Nxe5 Bxe5 Nc6 gxh6 Nxe5 dxe5 gxh6 Bd3 Qd7 Bxh7 Rxh7 Qd3 Rg7 e4 d4 Ne2 O-O-O O-O-O c5 c3 Qc7 cxd4 cxd4+ Kb1 Qxe5 Nxd4 Bc5 Nc6 Rxd3 Nxe5 Rxd1+ Rxd1 Bxf2 Rf1 Bxh4 Nxf7 h5 Nd6+ Kd8 Rh1 Bg3 e5 h4 Ne4 Ke7 Kc2 Rg4 Nf6 Rd4 Nh5 Bxe5 Rg1 h3 Rg5 h2
2WzTqTeg,True,bullet,bullet,white,Sicilian Defense: Taimanov Variation,DrNykterstein,maciek_92,e4 c5 Nc3 e6 Nf3 Nc6 d4 cxd4 Nxd4 a6 Nxc6 bxc6 Bd3 d5 O-O Nf6 Re1 Be7 Qf3 O-O Qg3 g6 Bh6 Re8 Rad1 Nh5 Qh3 Bg5 Bxg5 Qxg5 exd5 cxd5 Nxd5 e5 Qe3 Qh4 Nb6 Rb8 Nxc8 Rbxc8 c3 Rb8 g3 Qf6 b3 a5 Bc4 Ng7 Rd7 Re7 Rxe7 Qxe7 Qxe5 Qb7 Qxa5 Nf5 Qd5 Qc7 Qe5 Qb7 Bd5 Qa7 c4 Rd8 Qf6 Rf8 h4 h5
BdIlhVem,True,bullet,bullet,white,Sicilian Defense,DrNykterstein,alireza2003,e4 c5 Nf3 d5 exd5 Qxd5 Nc3 Qd8 d4 cxd4 Qxd4 Qxd4 Nxd4 Nf6 Ndb5 Na6 Be3 Bd7 Bxa7 e6 O-O-O Be7 Bd4 O-O Bxf6
X2ooxxhO,True,bullet,bullet,black,King's Indian Attack: Symmetrical Defense,chess-art-us,DrNykterstein,Nf3 Nf6 g3 g6 Bg2 Bg7 O-O O-O d3 d6 c4 Nbd7 Nc3 e5 Nd2 Re8 Rb1 c6 b4 Nf8 e4 Ne6 Bb2 a5 a3 axb4 axb4 h5 Ra1 Rxa1 Bxa1 Nd4 Ne2 Nxe2+ Qxe2 h4 Rb1 h3 Bf1 d5 cxd5 cxd5 Nf3 Bg4 Qe3 d4 Qe2 Qa8 Qd1 Rc8 Be2 Qa2 Rb2 Qe6 Kf1 Bh6 Rb1 Qa2 Bb2 Rc3 Ne1 Bxe2+ Kxe2 Rb3 Qc2 Rxb4 Kd1 Ng4 Ke2 Nxh2 f3 Be3 f4 Ng4 Nf3 h2 f5 h1=Q
iYUxzt1g,True,bullet,bullet,white,Zukertort Opening: Kingside Fianchetto,DrNykterstein,MetiForce,Nf3 g6 g3 Bg7 Bg2 c6 d4 d5 O-O Nf6 Bf4 O-O Nbd2 Bf5 Nh4 Nbd7 Nxf5 gxf5 Nf3 e6 c3 Ne4 Ne1 a5 Nd3 a4 f3 Nef6 Qc2 b5 Rae1 Qe7 e4 dxe4 fxe4 Nxe4 Bxe4 fxe4 Rxe4 c5 d5 Nf6 d6 Qb7 Re2 c4 Ne5 Nd5 Qe4 Qb6+ Kg2 Nxf4+ Rxf4 Qxd6 Nxf7 Qd5 Qxd5 exd5 Nd6 Rxf4 gxf4 b4 cxb4 a3 bxa3 c3 Kf3 Rxa3 Rc2 Bf8 Nb5 Ra8 a3 Bg7 Ke3 Kf7 Kd3 Kg6 Rg2+ Kh6 Rg5 d4 Nd6 Rf8 Nf5+ Rxf5 Rxf5 Kg6 Rg5+ Kf7 Rxg7+ Kxg7 b5 Kf6 b6
jsnf9Tyl,True,bullet,bullet,,King's Indian Attack,DrNykterstein,mutdpro,Nf3 d5 g3 Nd7 Bg2 e5 d3 c6 Nbd2 Ngf6 O-O Bc5 e4 O-O c3 dxe4 Nxe4 Bb6 Nxf6+ Qxf6 Re1 h6 a4 a5 Be3 Bc7 Qe2 Re8 Rad1 Nf8 h3 Ng6 Nd2 Bf5 Ne4 Qe7 Bc5 Qd7 h4 Rad8 Be3 Bg4 f3 Be6 Nc5 Qc8 Nxe6 Qxe6 Qf2 Qb3 h5 Nf8 Bh3 Qxa4 Bf5 Qb3 g4 Ne6 Kg2 Qd5 Ra1 b5 Be4 Qd6 Rad1 a4 Qg3 Nf4+ Bxf4 exf4 Qf2 Re5 d4 Re7 Bd3 Re3 Be4 Re8 Kf1 a3 bxa3 Rxc3 Bh7+ Kf8 Rxe8+ Kxe8 d5 Re3 Be4 c5 Qb2 Rxe4 Qxb5+ Ke7 fxe4 Kf6 Qc6 Ke5 Qxd6+ Kxd6 a4 c4 Ke2 Kc5 d6 Bxd6 Rd5+ Kc6 a5 Bc5 a6 Bb6 Rf5 f6 Rxf4 Kb5 Rf5+ Kxa6 e5 fxe5 Rxe5 Bd4 Re4 Bf6 Rxc4 Kb5 Re4 Kc5 Kf3 Kd5 Kf4 Bg5+ Kf5 Bf6 Re6 Bc3 Rg6 Bb2 g5 hxg5 Rxg5 Kd6 Kg6 Ke7 Rf5 Ke6 Rf7 Bc3 Rxg7 Bb2 Rf7 Bg7 h6 Bf6 Rxf6+ Ke5 Rf7 Ke4 h7 Kd5 h8=Q Ke6 Qe8+ Kd6
